,words,clues
2989,CLERK,Shop employee
2990,HELLOHOWAREYOU,Words of greeting
2991,MOET,Chandon's partner in Champagne
2992,BUD,Blossom-to-be
2993,OPAL,October birthstone
2994,STRUM,"Play, as a guitar"
2995,REP,Dem.'s counterpart
2996,HILLSTREETBLUES,1980s cop show that TV Guide once ranked as the greatest TV drama of all time
2997,ONE,Dollar bill
2998,THIEF,Robber
2999,ELLA,Singer Fitzgerald
3000,AAA,Battery for a TV remote
3001,PANE,Window unit
3002,HOLLYWOODACTOR,James Earl Jones or Tommy Lee Jones
3003,AREAS,Zones
3004,VIOLA,String quartet instrument
3005,FIR,An evergreen
3006,SIRS,Gentlemen
3007,HULLABALOO,Ruckus
3008,TOOK,Made off with
3009,SLEET,Freezing rain
3010,BAJA,Mexico's ___ California
3011,ENYA,One-named New Age singer
3012,TERSE,Succinctly put
3013,SWAN,What the Ugly Duckling became
3014,OSHA,Worker protection org.
3015,LOATH,Reluctant (to)
3016,ALLFEMALE,Like the band Josie and the Pussycats
3017,VOL,Stereo control: Abbr.
3018,ONFOOT,Walking
3019,FIFTH,Saks ___ Avenue
3020,AMATO,"Former Italian P.M. whose name means ""beloved"""
3021,REMOW,"Cut again, as grass"
3022,TSE,China's Mao ___-tung
3023,SCALED,"Reduced, with ""back"""
3024,HONEY,Beehive product
3025,ASTRO,Houston player
3026,HAIKU,"Poem like ""The swallow flies up / Into a blue evening sky, / Summer's small herald"""
3027,OGLE,Devour with the eyes
3028,CRUMB,Cookie morsel
3029,LOLL,Laze
3030,ABUT,Share a border with
3031,OHO,"""Well, what have we here!"""
3032,PIN,Brooch
3033,SRI,___ Lanka
3034,TEE,Item in a golfer's pocket
3035,REF,B-ball official
3036,RULEOFLAW,Alternative to arbitrary governance
3037,EEL,Wriggly fish
3038,PSA,"Smokey Bear ad, e.g., for short"
3039,STAYS,Doesn't leave
3040,THAW,Deice
3041,LENT,Gave for a while
3042,ALASKA,State that the Arctic Circle passes through
3043,PALATE,Aesthetic taste
3044,ACAB,"""Call me ___!"" ""O.K., you're ...!"""
3045,HASTE,Proverbial waste maker
3046,ORION,Heavenly hunter
3047,LEROY,"""Bad, bad"" Brown of song"
3048,OVULE,Small egg
3049,OILER,"Houston player, once"
3050,DOLES,Metes (out)
3051,RIOJA,"Spanish wine region, with ""La"""
3052,ROAN,Horse whose coat is sprinkled with white hairs
3053,HST,F.D.R.'s successor
3054,ABS,"""Six-pack"" muscles"
3055,POINT,16-ounce container
3056,STRAINED,Material commonly used during cathedral construction
3057,STAND,Primitive timer
3058,ACMES,Pinnacles
3059,THISLIFE,Sidney Poitier's 1980 autobiography
3060,CHLOE,"Moretz of ""Carrie"""
3061,DOETH,"Performs, biblically"
3062,RADIOERA,When soap operas first flourished
3063,RAINS,They're measured by pluviometers
3064,DNA,Geneticist's study
3065,IRE,Rage
3066,EASTON,"Sheena who sang ""U Got the Look"" with Prince"
3067,ITSOK,"""No worries"""
3068,INNEREAR,It helps you achieve balance
3069,NEONS,Highlighter shades
3070,PCT,%: Abbr.
3071,NONETAKEN,"Reply to ""No offense"""
3072,ITHELP,"Aid after a computer crash, say"
3073,GROK,Get
3074,DENOTE,Mark
3075,TESSERAE,Mosaic pieces
3076,DIDIWIN,Question after a photo finish
3077,SUP,"""How's it hangin'?"""
3078,RSVP,"Click ""Going"" on a Facebook event, e.g."
3079,LEANIN,2013 best seller by Sheryl Sandberg
3080,POCONOS,"Pennsylvania vacation locale, with ""the"""
3081,GUMBY,Pokey's pal on TV
3082,OSA,Spanish she-bear
3083,LATISH,Running a bit behind
3084,MOO,Part of a stock exchange?
3085,BREAKTHEGLASSCEILING,Overcome a certain career barrier ... or what the answers to the starred clues do?
3086,TON,Heavy weight
3087,IAGREE,"""Same with me"""
3088,HIE,Move hastily
3089,NADER,Also-ran in 2000
3090,TREERAT,"Gray squirrel, in slang"
3091,SEXILE,"Send elsewhere for the night, as a roommate, in modern lingo"
3092,SPAY,Easy-to-carry telescope
3093,DEN,Cubs' home
3094,FOGGIER,"Less safe for a plane landing, in a way"
3095,COLORIZE,Change from black-and-white
3096,YOYOMA,Classical musician with a Presidential Medal of Freedom
3097,ABLE,Pub vessel
3098,IMBUES,Permeates
3099,POSTERIOR,Behind
3100,RIG,"Fix, as an election"
3101,WINCE,Cab destination?
3102,FLEXAGON,Geometric toy whose sides change depending on how it's folded
3103,SLIDE,Drop a bit
3104,ISEULT,Arthurian princess
3105,ERE,Poetic preposition
3106,EKE,Scrape (out)
3107,LOGIN,Go online
3108,DEGREASE,"Remove fat from, as a soup"
3109,ROLOS,Caramel candies from Hershey
3110,ADHOC,Opposite of standing
3111,TEEINGUP,Getting ready to swing
3112,TROUT,Lake catch
3113,BETTY,"White who is the oldest person ever to host ""S.N.L."""
3114,HAVEASAY,Participate in deciding
3115,SAWTO,Took care of
3116,PADDING,Superfluous part of an essay
3117,OCONNOR,*One who 64-Acrossed for Supreme Court justices ...
3118,IMEANNO,Emphatic refusal
3119,NET,After deductions
3120,TSHIRT,Gift shop item
3121,STREAKED,Hurriedly showed oneself out?
3122,THA,"""J to ___ L-O!"" (Jennifer Lopez album)"
3123,RIDE,*... for astronauts
3124,ASIAN,Like over four billion people
3125,ILOSE,"""Victory is yours"""
3126,NIETO,Mexican president Enrique Pe̱a ___
3127,EFRON,"Zac of ""Neighbors"""
3128,DEANS,Professors answer to them
3129,SCRIPTS,Reading material for a Hollywood agent
3130,THATCHER,*... for British prime ministers
3131,ALISTERS,Most-wanted invitees
3132,NONO,"Texting while driving, e.g."
3133,DESK,Anchor's place
3134,READIN,"Enter, as data"
3135,EEK,"Cousin of ""OMG!"""
3136,RENI,"Guido who painted ""Massacre of the Innocents"""
3137,NOW,Today
3138,ISPOSE,"""Hmm, guess so"""
3139,LAV,"Loo, for short"
3140,PEP,___ rally
3141,TIP,What boats shouldn't do
3142,ENOLA,___ Gay (W.W. II plane)
3143,TSOTSI,Best Foreign Film of 2005 set in South Africa
3144,EUNICE,Kennedy who was the mother of Maria Shriver
3145,DIYKIT,"Aid for the handy, informally"
3146,LGBT,"Letters of ""pride"""
3147,EURO,Alternative to a pound
3148,AMEN,Emphatic agreement
3149,NBA,Org. with a travel ban?
3150,CASH,"Bills, e.g."
3151,SHINER,Hit record?
3152,OHGEEZ,"""Yi-i-ikes!"""
3153,SERENE,Pacific
3154,AGER,Ending with teen
3155,MIDI,Certain conservative skirt
3156,ONEL,Hillary Clinton in 1969 or Bill Clinton in 1970
3157,OGRE,Monster
3158,TARDIS,Fictional spacecraft created by the Time Lords
3159,LEAFY,Like lettuce
3160,LAX,West Coast air hub
3161,TOO,Overly
3162,SEATER,Two-___ (smallish car)
3163,SCI,___-fi
3164,POM,"Yapping dog, for short"
3165,ALBRIGHT,*... for secretaries of state
3166,YOUIDIOT,"""Don't be so dumb!"""
3167,GYP,"Rip off, informally"
3168,GOOF,Clown (around)
3169,IMSLEEPY,[Yawn]
3170,REGENCY,Rule by governing board
3171,ARA,Altar constellation
3172,BIGELOW,*... for Best Directors
3173,LOOKOUT,Ranger's station
3174,ERNESTO,Che Guevara's real first name
3175,EXERTS,"Puts forward, as effort"
3176,WIDTH,Factor in area calculation
3177,ISEEA,"""___ little silhouetto of a man"" (Queen lyric)"
3178,NEGEV,Desert NE of the Sinai Peninsula
3179,CURIE,*... for Nobel laureates
3180,ELENA,"1941 chart-topper ""Maria ___"""
3181,SLAB,Slice for a hearty appetite
3182,LODE,Miner's strike
3183,TAGS,Catches off base
3184,SUA,Apologia pro vita ___
3185,ORA,60 minuti
3186,GINA,Actress and former mixed martial arts champion Carano
3187,BARB,Provocative remark
3188,BALE,Seat at a hootenanny
3189,ADORE,Go crazy for
3190,OVER,Part of an order for eggs
3191,UNIX,Operating system with many clones
3192,SLIMTONONE,... SLID SAID SAND SANE SINE NINE ...
3193,STEP,It may help you get up
3194,PERISH,"""... shall not ___ from the earth"": Gettysburg Address"
3195,NEXT,Call from a counter
3196,IDO,Words often spoken with a hand on the Bible
3197,EYED,Visually assessed
3198,GIRLS,Show created by Lena Dunham
3199,MARS,Where Matt Damon was stranded in a 2015 film
3200,NOTETOSELF,... DOTE DOLE DOLL DELL SELL ...
3201,AGE,Archaeologist's estimate
3202,TRIO,Many a chamber piece
3203,PUPIL,Person at a desk
3204,TIP,What an insider might offer
3205,SYNAPSE,Impulse transmission point
3206,TMI,"""You've said quite enough!,"" informally"
3207,CLOCK,Something a cellphone can replace
3208,SETS,"6-3, 2-6, 7-6 and others"
3209,IBN,Part of many Arabic names
3210,HERETOSTAY,... HERD HEAD HEAT SEAT STAT ...
3211,SCOT,"Macbeth, e.g."
3212,TOSCA,Puccini title heroine
3213,KLUM,"Heidi of ""Project Runway"""
3214,REC,___ department
3215,KELP,"Growth in an underwater ""forest"""
3216,EDICTS,Things handed down by kings
3217,ADAM,Man exiled from 55-Down
3218,AMENTOTHAT,... OMEN OPEN OPED SPED SHED SHAD SHAM WHAM WHAT ...
3219,ZERO,Home (in on)
3220,NODE,Lymph ___
3221,NEATO,"""Sweet!,"" old-style"
3222,ENDS,Wraps up
3223,SNIT,Fit of pique
3224,SPEW,Erupt
3225,GASP,[OMG!]
3226,IDLE,Not in use
3227,NOIR,Genre for the novelist Patricia Highsmith
3228,ARMIES,Hordes
3229,BON,What's always good in Grenoble?
3230,AVON,Publisher of the old All-True Detective Cases comic books
3231,RENEGE,Fail on a promise
3232,BREXIT,Portmanteau in 2016 world news
3233,BUS,Greyhound runner?
3234,ANTISEPTIC,Common bandage additive
3235,LIED,Told a tale
3236,EXPO,Event at a convention center
3237,ETSY,Online market for crafts
3238,OHENRY,Annual writing award
3239,TROPES,"Training montages, underdog victories, etc., in sports movies"
3240,DOIN,Bump off
3241,LSU,The Tigers of the S.E.C.
3242,MATCH,"6-3, 2-6, 7-6, e.g."
3243,AGILE,Nimble
3244,REPORTCARD,"Progress indicator, of a sort"
3245,TOAST,"Wedding dinner speech, often"
3246,LIMBO,Gray area
3247,FLINT,Camper's tool
3248,TSKTSK,"""For shame!"""
3249,PEAK,Pinnacle
3250,STYLET,Engraver's instrument
3251,CEO,"Board hiree, for short"
3252,OCEANS,Geographical quintet
3253,SALMON,Catch for a grizzly
3254,SMITES,Hits hard
3255,UDON,Japanese noodles
3256,RAZE,Demolish
3257,EDEN,See 62-Across
3258,PEDI,"Spa treatment, informally"
3259,CHAP,Bloke
3260,TATE,Museum near Westminster Abbey
3261,STOW,Put away
3262,MOS,Rapper ___ Def
3263,NET,Lepidopterist's aid
3264,STEP,"Echoing sound in a hallway, maybe"
3265,MOAN,"""Not this again!,"" e.g."
3266,ERIC,Idle laughter source?
3267,TAXI,Call with a raised hand
3268,UNJAM,"Clear, as a printer"
3269,VEGA,Lyra's brightest star
3270,ADEN,British crown colony from 1937 to 1963
3271,COATI,Animal that resembles a raccoon
3272,ACLU,"Grp. that promised Trump ""We'll see you in court"""
3273,BACKTOFRONT,How a book in Hebrew is read [watch out now!]
3274,LOO,London lav
3275,FUSE,Part of a bomb
3276,KOREAN,"Language in which ""hello"" is ""annyeonghaseyo"""
3277,SAYING,Proverb
3278,DEMOED,"Showed, as in a showroom"
3279,RENEE,"Zellweger of ""Chicago"""
3280,FORWARDHO,Wagon train cry [you can relax ...]
3281,RIG,18-wheeler
3282,LEWIS,Boxer Lennox
3283,EON,Really long time
3284,INREVERSE,Ready to leave the garage [here we go again!]
3285,TOADS,Little hoppers
3286,ENTIRE,Whole
3287,OFLATE,Recently
3288,TANDEM,Kind of bike
3289,VIPS,"Some line cutters, in brief"
3290,ICE,Treatment for a sprain
3291,LEFTTORIGHT,"How people are usually listed in photo captions [phew, all done!]"
3292,TOES,Stretchers may touch them
3293,ROWAN,Mr. Bean portrayer Atkinson
3294,NOIR,Crime film genre
3295,ULNA,Bone in a wing or arm
3296,SPIKY,Like some moussed hair
3297,CAKE,Become clumped
3298,PITT,"William ___, early British P.M."
3299,STEM,Part of a flower
3300,IDES,"February 13, e.g."
3301,STAB,Attack with a sword
3302,TADA,"""All done!"""
3303,EXEC,Boardroom fig.
3304,PINKEYE,Conjunctivitis
3305,MUCOUS,Kind of membrane
3306,ONOFF,Switch words
3307,AJAR,Open a bit
3308,NATO,Grp. that has added 12 members since the end of the Cold War
3309,EVA,"Mendes of ""2 Fast 2 Furious"""
3310,RECORDDEAL,Aspiring band's goal
3311,IGLOO,Brand of cooler
3312,CAULK,Leak fixer
3313,MINNOWS,Some baitfish
3314,TSAR,Bygone Winter Palace resident
3315,TAMA,"Janowitz who wrote ""Slaves of New York"""
3316,EER,Poetic adverb
3317,GERI,Spice Girl Halliwell
3318,NEIN,Rhineland refusal
3319,INGREDIENT,Food label listing
3320,DOWSE,Divine water
3321,ERIE,Port with lots of lake-effect snow
3322,FERN,Plant with spores
3323,HOOF,Its sound in old westerns was often simulated by a coconut
3324,ONTO,Latch ___
3325,LETTERS,High school athletic awards
3326,ERN,Southwest terminal?
3327,VIAL,Perfume container
3328,STIR,Mix
3329,DAVINCI,"""Vitruvian Man"" artist"
3330,EPONYM,James Parkinson or Alois Alzheimer
3331,METUP,Rendezvoused (with)
3332,ECOLI,Cause of some poisoning
3333,STAKE,Shares held by a shareholder
3334,FOPS,Dandies
3335,TWIT,Blockhead
3336,GOAD,Egg on
3337,HIKE,Trail activity
3338,TRES,Very: Fr.
3339,SAT,Used sofa?
3340,JETT,"Joan nicknamed ""The Godmother of Punk"""
3341,MBA,Many a W.S.J. subscriber
3342,SFPD,Org. that started during the California gold rush
3343,OAHU,Home of the all-vowel-named town Aiea
3344,GUAVA,Tropical fruit
3345,POUR,Flood (in)
3346,GRID,Electrical system
3347,OILER,"Wayne Gretzky, for 10 seasons"
3348,ERSE,Highland tongue
3349,PRO,Maven
3350,TRICK,Fool
3351,NTH,Indefinite ordinal
3352,TRIM,Request at the barber's
3353,INDY,"Midwest capital, to locals"
3354,SKY,"Domain of Horus, in Egyptian myth"
3355,TENPINS,*Bulletin board fasteners*
3356,WAG,Joker
3357,ARRID,Toiletry brand whose TV ads once featured the Supremes
3358,YET,Thus far
3359,CAINE,Michael who played Bruce Wayne's butler
3360,HOOD,Engine cover
3361,ASTER,Purplish bloom
3362,INNS,Establishments that often have porte coch̬res
3363,INCLINE,What might get the ball rolling
3364,MEERKAT,Burrowing animal of southern Africa
3365,BAKERY,Napoleon's place
3366,RASSLE,"Fight on a mat, in dialect"
3367,HEWN,Chopped
3368,PUTT,What might get the ball rolling
3369,IOWA,Where Herbert Hoover was born
3370,AIDAN,"Actor Turner of ""The Hobbit"""
3371,RBIS,A tater can produce up to four of these
3372,TWENTYQUESTIONS,"*""Which weighs more - a pound of feathers or a pound of lead?"" and others*"
3373,ZELDA,Novelist Fitzgerald
3374,AKA,Letters preceding a pseudonym
3375,AKRON,City where LeBron James was born
3376,ANDSO,"""As a result ..."""
3377,BEN,Cohen who co-founded an ice cream company
3378,TEENS,They come after 12
3379,JOG,Short run?
3380,EARP,Lawman played by James Garner and Kevin Costner
3381,THIRTYROCK,*1970s fad item*
3382,TUDOR,___ rose (English heraldic emblem)
3383,MUIR,California's ___ Woods
3384,BALI,Island in the Coral Triangle
3385,AVEC,"""___ plaisir!"""
3386,SPEND,Help stimulate the economy
3387,FORTYWINKS,*Pulls a fast one on*
3388,PUSH,Promote
3389,DRE,"""Dr."" of rap"
3390,GOTME,"""Hell if I know!"""
3391,ARKIN,"Alan of ""Argo"""
3392,ITD,"""___ be my pleasure!"""
3393,NSC,Advisory grp. to the president
3394,SAHIB,"Title meaning ""master"""
3395,KRONA,Capital of Sweden
3396,NYSE,Where Harley-Davidson Inc. is HOG
3397,PET,"Dog, cat or hamster"
3398,ITEM,Tabloid pair
3399,ANNAL,Historical record
3400,GESTE,Tale of derring-do
3401,IDLEHANDS,"The devil's playthings, they say"
3402,AIRSTRIKE,Drone's mission
3403,ANYWAY,"""Back to my point ..."""
3404,RERUNS,TV Land programming
3405,IRE,Hot temper
3406,EAT,Clear the dishes?
3407,NIQAB,Muslim face veil
3408,PAEAN,Song that might have hosannas
3409,ITZA,Native people of Guatemala
3410,OWEN,Wister who was known as the father of western fiction
3411,WELD,Join together
3412,DUKE,School with five March Madness titles
3413,BORE,Snoozer
3414,INON,A party to
3415,SSNS,Some personnel info: Abbr.
3416,TAO,Principle behind yin and yang
3417,TAT,"Something you might get with a piercing, informally"
3418,ACTII,"When Polonius says ""Brevity is the soul of wit"""
3419,BOAR,Tusked beast
3420,IDLE,Kind of threat
3421,FAINT,Swoon
3422,ALDA,Alan who played Captain Pierce
3423,CRUX,Essential point
3424,FRETS,Agonizes (over)
3425,HELPMEOBI,"With 61- and 37-Across, famous line by 53-Across in [see circled letters]"
3426,ERIE,"The ""E"" in HOMES"
3427,AIDA,Nubian heroine of opera
3428,PET,Family member who was probably adopted
3429,CINNAMONBUNS,"Hairstyle for 53-Across, colloquially"
3430,TESTLAB,Place where trials are conducted
3431,ONARUN,"Hitting blackjack after blackjack, say"
3432,PIETA,Michelangelo masterpiece
3433,SOME,A few
3434,YOUREMYONLYHOPE,See 18-Across
3435,AURA,Ambience
3436,SODOI,"""Same here!"""
3437,WINSAT,Is victorious in
3438,RIPOFFS,Swindles
3439,PRINCESSLEIA,Iconic role for 2-/51-Down
3440,OHO,"""What have we here?!"""
3441,SLAY,Knock 'em dead
3442,ETSY,Online crafts seller
3443,WANKENOBI,See 18-Across
3444,MOTHY,"Like old, neglected sweaters, maybe"
3445,LUTE,Renaissance Faire instrument
3446,OMEN,Sign of things to come
3447,ALLEE,"Tree-lined walkway, in France"
3448,SLOG,Make slo-o-o-ow progress
3449,WIRE,Concealed mike
3450,PEERS,Entitled sorts?
3451,AFFECT,Influence
3452,CARRIE,"With 51-Down, late, beloved actress"
3453,TIEINS,Certain marketing gimmicks
3454,INTENT,Hell-bent (on)
3455,ITS,"""___ a trap!"""
3456,BAH,"""Harrumph!"""
3457,OLEAN,Brand of artificial fat
3458,ADLIB,"Deal with a broken teleprompter, say"
3459,RAPDUO,"Rae Sremmurd, e.g."
3460,ICE,Makeup of the planet Hoth
3461,DROP,Nosedive
3462,LUBE,Squeak stopper
3463,EXIT,Turnoff for drivers
3464,MANN,"""Doctor Faustus"" novelist Thomas"
3465,ALPE,"Mont Blanc, e.g., to locals"
3466,MAIM,Cripple
3467,OBEYS,Heeds
3468,SASH,Merit badge displayer
3469,ROO,"Figure on an Aussie Xing sign, perhaps"
3470,UMP,World Series official
3471,NEE,Formerly named
3472,TOO,"""___ late!"""
3473,ANDRE,Tennis champ Agassi
3474,YAW,"Deviate during flight, as a rocket"
3475,OUI,Non's opposite
3476,URN,Coffee container
3477,RASP,Speak with a gravelly voice
3478,LOIS,"Amy Adams's ""Man of Steel"" role"
3479,YIPS,Puppy sounds
3480,ARSE,British derri̬re
3481,TILNOW,"So far, informally"
3482,OLEOLE,Chant after a f̼tbol goal
3483,FETTLE,In fine ___ (healthy)
3484,FISHER,See 2-Down
3485,SAYYES,Agree to a proposal
3486,NAOMI,Country singer Judd
3487,CYBER,Modern lead-in to space or security
3488,OWLS,Real head-turners?
3489,HAUL,Drag
3490,ONTO,Not deceived by
3491,KEG,Beer barrel
3492,INE,Having four sharps
3493,MAP,"Reference in ""Treasure Island"""
3494,MAGIC,"Pulling a rabbit out of a hat, e.g."
3495,ARAL,Kazakhstan's ___ Sea
3496,ACER,"Computer company with the slogan ""Explore beyond limits"""
3497,ABASH,Embarrass
3498,RODE,Was a passenger
3499,SOLE,It's always getting stepped on
3500,PULSE,Sign of life
3501,CARGOSHIP,*Vessel with a large hold
3502,LENS,Camera part
3503,SOUPNAZI,"""Seinfeld"" stock character?"
3504,QUALITYTIME,*What a family spends together at the dinner table
3505,BAN,Competitor of Secret
3506,UPN,Predecessor of the CW
3507,LOA,Mauna ___
3508,TENT,Scout's shelter
3509,AFT,Back on a boat
3510,LOLZ,"Hilarity, in Internet-speak"
3511,ASIA,One side of the Pacific
3512,FORKEDLIGHTNING,*Branches in a storm?
3513,FRYE,"6'11"" Channing of the N.B.A."
3514,PEAR,"Partridge's tree, in a Christmas song"
3515,RCA,Color TV pioneer
3516,YOKE,"Put together, as a team"
3517,RYE,Ham on ___
3518,BOZ,"Singer Scaggs with the 1976 hit ""Lowdown"""
3519,BOW,Front of a boat
3520,TEXTMESSAGE,*Its arrival may be signaled by a ding
3521,SWEETTEA,"So-called ""house wine of the South"""
3522,SPUR,"What you might use when you say ""Giddyup!"""
3523,INABOTTLE,Words that can follow the ends of the answers to the starred clues
3524,ASTIN,"Sean who played Mikey in ""The Goonies"""
3525,DEVO,"Band with the hit ""Whip It"""
3526,LEOX,Pope who excommunicated Martin Luther
3527,SHOVE,"Elbow, maybe"
3528,EDEN,Garden of ___
3529,ERNO,Puzzlemaker Rubik
3530,SINEW,Strength
3531,MAP,Help at the entrance to a mall
3532,ABU,Aladdin's monkey
3533,GALLANTRY,Courage in battle
3534,ISSEL,Basketball Hall-of-Famer Dan
3535,CHENILLE,Plush fabric
3536,ARC,"Eyebrow's shape, roughly"
3537,ROAST,Criticize severely
3538,ADROIT,Skillful
3539,LEGUME,"Peanut, for one"
3540,ASSN,One of the A's in N.A.A.C.P.: Abbr.
3541,COHAB,Roomie
3542,ELIZA,"Woman who sings ""Burn"" in ""Hamilton"""
3543,REPIN,"Affix again, as a badge"
3544,OPEN,"Word before air, fire or water"
3545,STOOD,Tolerated
3546,QUAFF,Hearty drink
3547,UPFOR,Willing to do
3548,YALL,"Everyone, in Dixie"
3549,TAN,Give a lickin'
3550,ZIP,"""___ your lip!"""
3551,SIRBARTON,"First winner of horse racing's Triple Crown, 1919"
3552,INCOG,"Disguised, briefly"
3553,AGAZE,Staring
3554,KEY,Item that might be fervently wanted by a prisoner
3555,GERM,Start of an idea
3556,HAYES,President after Grant
3557,TRESPASS,Encroach on someone's land
3558,OTTO,"""The Simpsons"" bus driver"
3559,KETTLE,"""That's a fine ___ of fish!"""
3560,EXETER,Devon cathedral city
3561,BSIDE,"Rod Stewart's ""Maggie May,"" e.g."
3562,OWNED,Had title to
3563,WEAVE,Work on a loom
3564,TALON,Hawk's hook
3565,SUSHI,"Maki, temaki or uramaki"
3566,EBON,"Black, in poetry"
3567,EXO,Prefix with planet
3568,IVE,"""Now ___ seen it all!"""
3569,NEW,Just-minted
3570,SWARM,Bee ball?
3571,ATAD,Somewhat
3572,PAST,Historian's focus
3573,OHGEE,"Sarcastic ""Amazing!"""
3574,ROUE,Hedonistic sort
3575,ARLO,Janis's spouse in the comics
3576,FIRSTIMPRESSION,The new dentist wanted to make a good ...
3577,AGILITY,Gymnast's asset
3578,OPUSDEI,"Secret group in ""The Da Vinci Code"""
3579,INS,Important contacts
3580,GREEK,Kind of cross or yogurt
3581,BRIDGELOAN,The dentist helped the patient afford the visit with a ...
3582,ERST,"Previously, previously"
3583,RUNE,Mystical character
3584,LEK,Albanian currency
3585,YEAR,Info on a wine label
3586,ABS,Target of crunches
3587,FOAMS,Heads for the bar?
3588,NBA,Org. that prohibits traveling
3589,SLEW,"Dispatched, as a dragon"
3590,PUP,Young sea lion
3591,AARP,Big D.C. lobby
3592,SETH,"Rogen of ""Sausage Party"""
3593,BRUSHPILES,The dentist sorted all the bristled instruments into ...
3594,IMOUT,"""Too rich for my blood"""
3595,ERR,Flub
3596,DAYSINN,Super 8 alternative
3597,CRACKUP,Burst out laughing
3598,YOUKNOWTHEDRILL,"When it was time for the filling, the dentist asked for, well, ..."
3599,ANKA,"""Diana"" singer Paul"
3600,BARE,Like Mother Hubbard's cupboard
3601,AETNA,Insurance giant
3602,NESS,Capone's nemesis
3603,OYEZ,Call in court
3604,SWEAT,A workout works one up
3605,SOFA,"Loose change ""collector"""
3606,WHIG,Fillmore's party
3607,AGRI,Prefix with cultural
3608,RESLIDE,Decline again
3609,METING,Parceling (out)
3610,ARMY,___ ant
3611,TOP,Word after carrot or muffin
3612,AURORA,Night light up north
3613,DEEPEN,Intensify
3614,PASSKEY,It'll open many doors
3615,ARID,Like much of Arizona
3616,SLOE,Plum used to flavor gin
3617,TONI,Singer Tennille
3618,ITSELF,By ___ (alone)
3619,SUE,Good name for a plaintiff?
3620,GOKAPUT,Die
3621,BRASS,Pentagon V.I.P.s
3622,RUBLE,Belarussian money
3623,INSET,Atlas extra
3624,LEO,"Barack Obama, astrologically"
3625,RENAL,Kidney-related
3626,SABRE,Buffalo pro
3627,TRAPS,Bunkers
3628,MUS,M M M
3629,SPHERE,Shape of the world
3630,WHISKAS,Friskies rival
3631,AIRCREW,All plane attendants in attendance
3632,BONOBO,Congo ape
3633,RUNWAY,Where fashions debut
3634,PRADAS,Some luxury bags
3635,MIN,Short amount of time?
3636,DYAN,Cannon on screen
3637,AONE,Best of the best
3638,YUKS,Big laughs
3639,CHEZ,Word in some French restaurant names
3640,KITE,Franklin's flier
3641,ULNA,What's got the upper hand?
3642,PLAT,Surveyor's map
3643,TRE,Numero after due
3644,EDAM,Sweet-curd cheese
3645,JAB,Start of a one-two punch
3646,FSTOPS,S.L.R. settings
3647,NILE,River that turned to blood in Exodus
3648,EMU,Bird with a potent kick
3649,ONHIRE,"Available for rental, in Britain"
3650,DAGNABIT,"""@#$!"" from Deputy Dawg"
3651,LAYLOW,"Hid from the cops, say"
3652,SLATE,Blue-gray shade
3653,STRIP,"""Blondie"" or ""Dilbert"""
3654,HSN,QVC competitor
3655,HORSEHOCKEY,"""@#$!"" from Colonel Sherman Potter"
3656,CORONA,Cinco de Mayo beer
3657,OSHEA,"Milo of ""The Verdict"""
3658,HAUL,Burglar's take
3659,SCAM,"Robocall from the I.R.S., e.g."
3660,ANTIC,Like Marx Brothers comedies
3661,ATM,"Place for quick cash, for short"
3662,SHAZBOT,"""@#$!"" from Mork"
3663,ECO,Prefix with freak or friendly
3664,PHONY,Bogus
3665,NOIR,"Dark film genre, informally"
3666,GREG,Golfer Norman a.k.a. the Great White Shark
3667,RICCI,Christina who played Lizzie Borden
3668,ABASES,Takes down a notch
3669,OHBARNACLES,"""@#$!"" from SpongeBob SquarePants"
3670,SKA,Reggae forerunner
3671,MOGUL,Business bigwig
3672,NBCTV,"""The Voice"" airer"
3673,PASSON,"Hand down, as a family business"
3674,JEEZALOO,"""@#$!"" from Frank on ""Everybody Loves Raymond"""
3675,APIARY,Abode that's abuzz
3676,URL,WWW bookmark
3677,GIRL,"Former Little League star Mo'ne Davis, e.g."
3678,MITTEN,Snowsuit attachment
3679,SKI,"Schuss, say"
3680,SPIT,Polish's partner
3681,ENDS,Breaks off
3682,DIAL,Competitor of Ivory and Coast
3683,ALGA,Bit of birdbath gunk
3684,MENTHOL,Flavoring in Kool cigarettes
3685,JEB,One of the Bushes
3686,AMISS,Out of whack
3687,BUTTE,Montana city that consolidated with Silver Bow County
3688,FOLIOS,Books with large pages
3689,SNAPCHAT,Most-downloaded app of 2016
3690,THY,Possessive pronoun in the Lord's Prayer
3691,OILHEATERS,Some portable room warmers
3692,PROSY,Like dull-as-dishwater writing
3693,SEWN,Stitched together
3694,AEON,"MTV's ""___ Flux"""
3695,RHOMBI,"Diamonds, in plane geometry"
3696,RASH,Devil-may-care
3697,KEN,Baseball's Griffey
3698,CHAP,"""Cheerio"" sayer"
3699,OATH,Words from the witness stand
3700,RUMORHASIT,"""According to the grapevine ..."""
3701,CANING,"Making, as a wicker chair"
3702,AZO,Kind of dye with vivid colors
3703,ICEE,Frozen drink brand
3704,COGS,Gear parts
3705,SYCAMORE,Tree that sheds its bark
3706,ORAL,___ fixation (Freud topic)
3707,NIB,Pen tip
3708,GASBAGS,Long-winded sorts
3709,CRONYN,"Hume of ""Cocoon"""
3710,BENZ,Auto pioneer Karl
3711,OKAPI,Giraffe's cousin
3712,AUJUS,How prime rib may be served
